abv,name,style,brewery_id,ounces
0.05,Pub Beer,American Pale Lager,408,12
0.066,Devil's Cup,American Pale Ale (APA),177,12
0.071,Rise of the Phoenix,American IPA,177,12
0.09,Sinister,American Double / Imperial IPA,177,12
0.075,Sex and Candy,American IPA,177,12
0.077,Black Exodus,Oatmeal Stout,177,12
0.045,Lake Street Express,American Pale Ale (APA),177,12
0.065,Foreman,American Porter,177,12
0.055,Jade,American Pale Ale (APA),177,12
0.086,Cone Crusher,American Double / Imperial IPA,177,12
0.072,Sophomoric Saison,Saison / Farmhouse Ale,177,12
0.073,Regional Ring Of Fire,Saison / Farmhouse Ale,177,12
0.069,Garce Selé,Saison / Farmhouse Ale,177,12
0.085,Troll Destroyer,Belgian IPA,177,12
0.061,Bitter Bitch,American Pale Ale (APA),177,12
0.06,Ginja Ninja,Cider,154,12
0.06,Cherried Away,Cider,154,12
0.06,Rhubarbarian,Cider,154,12
0.06,BrightCider,Cider,154,12
0.082,He Said Baltic-Style Porter,Baltic Porter,368,12
0.082,He Said Belgian-Style Tripel,Tripel,368,12
0.099,Lower De Boom,American Barleywine,368,12
0.079,Fireside Chat,Winter Warmer,368,12
0.079,Marooned On Hog Island,American Stout,368,12
0.044,Bitter American,American Pale Ale (APA),368,12
0.049,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12
0.049,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12
0.049,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,368,12
0.07,21st Amendment IPA (2006),American IPA,368,12
0.07,Brew Free! or Die IPA (2008),American IPA,368,12
0.07,Brew Free! or Die IPA (2009),American IPA,368,12
0.085,Special Edition: Allies Win The War!,English Strong Ale,368,12
0.097,Hop Crisis,American Double / Imperial IPA,368,12
0.044,Bitter American (2011),American Pale Ale (APA),368,12
0.079,Fireside Chat (2010),Winter Warmer,368,12
0.068,Back in Black,American Black Ale,368,12
0.083,Monk's Blood,Belgian Dark Ale,368,12
0.07,Brew Free! or Die IPA,American IPA,368,12
0.049,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,368,12
0.07,Bimini Twist,American IPA,67,12
0.05,Beach Blonde,American Blonde Ale,67,12
0.059,Rod Bender Red,American Amber / Red Ale,67,12
0.035,Passion Fruit Prussia,Berliner Weissbier,60,12
0.045,Send Help,American Blonde Ale,60,12
0.055,Cast Iron Oatmeal Brown,American Brown Ale,60,12
