name,city,state
NorthGate Brewing ,Minneapolis, MN
Against the Grain Brewery,Louisville, KY
Jack's Abby Craft Lagers,Framingham, MA
Mike Hess Brewing Company,San Diego, CA
Fort Point Beer Company,San Francisco, CA
COAST Brewing Company,Charleston, SC
Great Divide Brewing Company,Denver, CO
Tapistry Brewing,Bridgman, MI
Big Lake Brewing,Holland, MI
The Mitten Brewing Company,Grand Rapids, MI
Brewery Vivant,Grand Rapids, MI
Petoskey Brewing,Petoskey, MI
Blackrocks Brewery,Marquette, MI
Perrin Brewing Company,Comstock Park, MI
Witch's Hat Brewing Company,South Lyon, MI
Founders Brewing Company,Grand Rapids, MI
Flat 12 Bierwerks,Indianapolis, IN
Tin Man Brewing Company,Evansville, IN
Black Acre Brewing Co.,Indianapolis, IN
Brew Link Brewing,Plainfield, IN
Bare Hands Brewery,Granger, IN
Three Pints Brewing,Martinsville, IN
Four Fathers Brewing ,Valparaiso, IN
Indiana City Brewing,Indianapolis, IN
Burn 'Em Brewing,Michigan City, IN
Sun King Brewing Company,Indianapolis, IN
Evil Czech Brewery,Mishawaka, IN
450 North Brewing Company,Columbus, IN
Taxman Brewing Company,Bargersville, IN
Cedar Creek Brewery,Seven Points, TX
SanTan Brewing Company,Chandler, AZ
Boulevard Brewing Company,Kansas City, MO
James Page Brewing Company,Stevens Point, WI
The Dudes' Brewing Company,Torrance, CA
Ballast Point Brewing Company,San Diego, CA
Anchor Brewing Company,San Francisco, CA
Figueroa Mountain Brewing Company,Buellton, CA
Avery Brewing Company,Boulder, CO
Twisted X Brewing Company,Dripping Springs, TX
Gonzo's BiggDogg Brewing,Kalamazoo, MI
Big Muddy Brewing,Murphysboro, IL
Lost Nation Brewing,East Fairfield, VT
Rising Tide Brewing Company,Portland, ME
Rivertowne Brewing Company,Export, PA
Revolution Brewing Company,Chicago, IL
Tallgrass Brewing Company,Manhattan, KS
Sixpoint Craft Ales,Brooklyn, NY
White Birch Brewing,Hooksett, NH
Firestone Walker Brewing Company,Paso Robles, CA
SweetWater Brewing Company,Atlanta, GA
Flying Mouse Brewery,Troutville, VA
Upslope Brewing Company,Boulder, CO
Pipeworks Brewing Company,Chicago, IL
Bent Brewstillery,Roseville, MN
Flesk Brewing Company,Lombard, IL
Pollyanna Brewing Company,Lemont, IL
BuckleDown Brewing,Lyons, IL
Destihl Brewery,Bloomington, IL
Summit Brewing Company,St. Paul, MN
Latitude 42 Brewing Company,Portage, MI
4 Hands Brewing Company,Saint Louis, MO
Surly Brewing Company,Brooklyn Center, MN
Against The Grain Brewery,Louisville, KY
Crazy Mountain Brewing Company,Edwards, CO
SlapShot Brewing Company,Chicago, IL
Mikerphone Brewing,Chicago, IL
Freetail Brewing Company,San Antonio, TX
3 Daughters Brewing,St Petersburg, FL
Red Shedman Farm Brewery and Hop...,Mt. Airy, MD
Appalachian Mountain Brewery,Boone, NC
Birdsong Brewing Company,Charlotte, NC
Union Craft Brewing,Baltimore, MD
Atwater Brewery,Detroit, MI
Ale Asylum,Madison, WI
Two Brothers Brewing Company,Warrenville, IL
Bent Paddle Brewing Company,Duluth, MN
Bell's Brewery,Kalamazoo, MI
Blue Owl Brewing,Austin, TX
Speakasy Ales & Lagers,San Francisco, CA
Black Tooth Brewing Company,Sheridan, WY
Hopworks Urban Brewery,Portland, OR
Epic Brewing,Denver, CO
New Belgium Brewing Company,Fort Collins, CO
Sierra Nevada Brewing Company,Chico, CA
Keweenaw Brewing Company,Houghton, MI
Brewery Terra Firma,Traverse City, MI
Grey Sail Brewing Company,Westerly, RI
Kirkwood Station Brewing Company,Kirkwood, MO
Goose Island Brewing Company,Chicago, IL
Broad Brook Brewing LLC,East Windsor, CT
The Lion Brewery,Wilkes-Barre, PA
Madtree Brewing Company,Cincinnati, OH
Jackie O's Pub & Brewery,Athens, OH
Rhinegeist Brewery,Cincinnati, OH
Warped Wing Brewing Company,Dayton, OH
Blackrocks Brewery,Marquette, MA
Catawba Valley Brewing Company,Morganton, NC
Tröegs Brewing Company,Hershey, PA
Mission Brewery,San Diego, CA
Christian Moerlein Brewing Company,Cincinnati, OH
West Sixth Brewing,Lexington, KY
Coastal Extreme Brewing Company,Newport, RI
King Street Brewing Company,Anchorage, AK
Beer Works Brewery,Lowell, MA
Lone Tree Brewing Company,Lone Tree, CO
Four String Brewing Company,Columbus, OH
Glabrous Brewing Company,Pineland, ME
Bonfire Brewing Company,Eagle, CO
Thomas Hooker Brewing Company,Bloomfield, CT
"Woodstock Inn, Station & Brewery",North Woodstock, NH
Renegade Brewing Company,Denver, CO
Mother Earth Brew Company,Vista, CA
Black Market Brewing Company,Temecula, CA
Vault Brewing Company,Yardley, PA
Jailbreak Brewing Company,Laurel, MD
Smartmouth Brewing Company,Norfolk, VA
Base Camp Brewing Co.,Portland, OR
Alameda Brewing,Portland, OR
Southern Star Brewing Company,Conroe, TX
Steamworks Brewing Company,Durango, CO
Horny Goat Brew Pub,Milwaukee, WI
Cheboygan Brewing Company,Cheboygan, MI
Center of the Universe Brewing C...,Ashland, VA
Ipswich Ale Brewery,Ipswich, MA
Griffin Claw Brewing Company,Birmingham, MI
Karbach Brewing Company,Houston, TX
Uncle Billy's Brewery and Smokeh...,Austin, TX
Deep Ellum Brewing Company,Dallas, TX
Real Ale Brewing Company,Blanco, TX
Straub Brewery,St Mary's, PA
Shebeen Brewing Company,Wolcott, CT
Stevens Point Brewery,Stevens Point, WI
Weston Brewing Company,Weston, MO
Southern Prohibition Brewing Com...,Hattiesburg, MS
Minhas Craft Brewery,Monroe, WI
Pug Ryan's Brewery,Dillon, CO
Hops & Grains Brewing Company,Austin, TX
Sietsema Orchards and Cider Mill,Ada, MI
Summit Brewing Company,St Paul, MN
Core Brewing & Distilling Company,Springdale, AR
Independence Brewing Company,Austin, TX
Cigar City Brewing Company,Tampa, FL
Third Street Brewhouse,Cold Spring, MN
Narragansett Brewing Company,Providence, RI
Grimm Brothers Brewhouse,Loveland, CO
Cisco Brewers,Nantucket, MA
Angry Minnow,Hayward, WI
Platform Beer Company,Cleveland, OH
Odyssey Beerwerks,Arvada, CO
Lonerider Brewing Company,Raleigh, NC
Oakshire Brewing,Eugene, OR
Fort Pitt Brewing Company,Latrobe, PA
Tin Roof Brewing Company,Baton Rouge, LA
Three Creeks Brewing,Sisters, OR
2 Towns Ciderhouse,Corvallis, OR
Caldera Brewing Company,Ashland, OR
Greenbrier Valley Brewing Company,Lewisburg, WV
Phoenix Ale Brewery,Phoenix, AZ
Lumberyard Brewing Company,Flagstaff, AZ
Uinta Brewing Company,Salt Lake City, UT
Four Peaks Brewing Company,Tempe, AZ
Martin House Brewing Company,Fort Worth, TX
Right Brain Brewery,Traverse City, MI
Sly Fox Brewing Company,Phoenixville, PA
Round Guys Brewing,Lansdale, PA
Great Crescent Brewery,Aurora, IN
Oskar Blues Brewery,Longmont, CO
Boxcar Brewing Company,West Chester, PA
High Hops Brewery,Windsor, CO
Crooked Fence Brewing Company,Garden City, ID
Everybody's Brewing,White Salmon, WA
Anderson Valley Brewing Company,Boonville, CA
Fiddlehead Brewing Company,Shelburne, VT
Evil Twin Brewing,Brooklyn, NY
New Orleans Lager & Ale Brewing ...,New Orleans, LA
Spiteful Brewing Company,Chicago, IL
Rahr & Sons Brewing Company,Fort Worth, TX
18th Street Brewery,Gary, IN
Cambridge Brewing Company,Cambridge, MA
Carolina Brewery,Pittsboro, NC
Frog Level Brewing Company,Waynesville, NC
Wild Wolf Brewing Company,Nellysford, VA
COOP Ale Works,Oklahoma City, OK
Seventh Son Brewing Company,Columbus, OH
Oasis Texas Brewing Company,Austin, TX
Vander Mill Ciders,Spring Lake, MI
St. Julian Winery,Paw Paw, MI
Pedernales Brewing Company,Fredericksburg, TX
Mother's Brewing,Springfield, MO
Modern Monks Brewery,Lincoln, NE
Two Beers Brewing Company,Seattle, WA
Snake River Brewing Company,Jackson, WY
Capital Brewery,Middleton, WI
Anthem Brewing Company,Oklahoma City, OK
Goodlife Brewing Co.,Bend, OR
Breakside Brewery,Portland, OR
Goose Island Brewery Company,Chicago, IL
Burnside Brewing Co.,Portland, OR
Hop Valley Brewing Company,Springfield, OR
Worthy Brewing Company,Bend, OR
Occidental Brewing Company,Portland, OR
Fearless Brewing Company,Estacada, OR
Upland Brewing Company,Bloomington, IN
Mehana Brewing Co.,Hilo, HI
Hawai'i Nui Brewing Co.,Hilo, HI
People's Brewing Company,Lafayette, IN
Fort George Brewery,Astoria, OR
Branchline Brewing Company,San Antonio, TX
Kalona Brewing Company,Kalona, IA
Modern Times Beer,San Diego, CA
Temperance Beer Company,Evanston, IL
Wisconsin Brewing Company,Verona, WI
Crow Peak Brewing Company,Spearfish, SD
Grapevine Craft Brewery,Farmers Branch, TX
Buffalo Bayou Brewing Company,Houston, TX
Texian Brewing Co.,Richmond, TX
Orpheus Brewing,Atlanta, GA
Forgotten Boardwalk,Cherry Hill, NJ
Laughing Dog Brewing Company,Ponderay, ID
Bozeman Brewing Company,Bozeman, MT
Big Choice Brewing,Broomfield, CO
Big Storm Brewing Company,Odessa, FL
Carton Brewing Company,Atlantic Highlands, NJ
Midnight Sun Brewing Company,Anchorage, AK
Fat Head's Brewery,Middleburg Heights, OH
Refuge Brewery,Temecula, CA
Chatham Brewing,Chatham, NY
DC Brau Brewing Company,Washington, DC
Geneva Lake Brewing Company,Lake Geneva, WI
Rochester Mills Brewing Company,Rochester, MI
Cape Ann Brewing Company,Gloucester, MA
Borderlands Brewing Company,Tucson, AZ
College Street Brewhouse and Pub,Lake Havasu City, AZ
Joseph James Brewing Company,Henderson, NV
Harpoon Brewery,Boston, MA
Back East Brewing Company,Bloomfield, CT
Champion Brewing Company,Charlottesville, VA
Devil's Backbone Brewing Company,Lexington, VA
Newburgh Brewing Company,Newburgh, NY
Wiseacre Brewing Company,Memphis, TN
Golden Road Brewing,Los Angeles, CA
New Republic Brewing Company,College Station, TX
Infamous Brewing Company,Austin, TX
Two Henrys Brewing Company,Plant City, FL
Lift Bridge Brewing Company,Stillwater, MN
Lucky Town Brewing Company,Jackson, MS
Quest Brewing Company,Greenville, SC
Creature Comforts,Athens, GA
Half Full Brewery,Stamford, CT
Southampton Publick House,Southampton, NY
Chapman's Brewing,Angola, IN
Barrio Brewing Company,Tucson, AZ
Santa Cruz Mountain Brewing,Santa Cruz, CA
Frankenmuth Brewery,Frankenmuth, MI
Meckley's Cidery,Somerset Center, MI
Stillwater Artisanal Ales,Baltimore, MD
Finch's Beer Company,Chicago, IL
South Austin Brewery,South Austin, TX
Bauhaus Brew Labs,Minneapolis, MN
Ozark Beer Company,Rogers, AR
Mountain Town Brewing Company ,Mount Pleasant, MI
Otter Creek Brewing,Waterbury, VT
The Brewer's Art,Baltimore, MD
Denver Beer Company,Denver, CO
Ska Brewing Company,Durango, CO
Tractor Brewing Company,Albuquerque, NM
Peak Organic Brewing Company,Portland, ME
Cape Cod Beer,Hyannis, MA
Long Trail Brewing Company,Bridgewater Corners, VT
Great Raft Brewing Company,Shreveport, LA
Alaskan Brewing Company,Juneau, AK
Notch Brewing Company,Ipswich, MA
The Alchemist,Waterbury, VT
Three Notch'd Brewing Company,Charlottesville, VA
Portside Brewery,Cleveland, OH
Otter Creek Brewing,Middlebury, VT
Montauk Brewing Company,Montauk, NY
